127.0.0.1 - - [27/Apr/2020:14:44:28 +0530] "GET / HTTP/1.1" 404 709
0:0:0:0:0:0:0:1 - - [27/Apr/2020:14:45:44 +0530] "GET /StrutsDemo/teacherList.action HTTP/1.1" 200 4631
0:0:0:0:0:0:0:1 - - [27/Apr/2020:14:45:47 +0530] "GET /StrutsDemo/teacherList.action HTTP/1.1" 200 4631
0:0:0:0:0:0:0:1 - - [27/Apr/2020:14:46:15 +0530] "GET /StrutsDemo/teacherList.action HTTP/1.1" 200 4631
0:0:0:0:0:0:0:1 - - [27/Apr/2020:14:48:58 +0530] "GET /StrutsDemo/teacherList.action HTTP/1.1" 200 4631
0:0:0:0:0:0:0:1 - - [27/Apr/2020:14:48:58 +0530] "GET /StrutsDemo/assets/bootstrap-4.4.1-dist/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Apr/2020:14:48:58 +0530] "GET /StrutsDemo/assets/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Apr/2020:14:48:58 +0530] "GET /StrutsDemo/assets/fontawesome-free-5.13.0-web/css/all.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Apr/2020:14:48:58 +0530] "GET /StrutsDemo/assets/js/jquery-3.4.1.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Apr/2020:14:48:58 +0530] "GET /StrutsDemo/assets/fontawesome-free-5.13.0-web/js/all.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Apr/2020:14:48:58 +0530] "GET /StrutsDemo/assets/bootstrap-4.4.1-dist/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Apr/2020:14:49:00 +0530] "GET /StrutsDemo/teacherForm.action HTTP/1.1" 200 3565
0:0:0:0:0:0:0:1 - - [27/Apr/2020:14:53:30 +0530] "GET /StrutsDemo/teacherForm.action HTTP/1.1" 200 3837
0:0:0:0:0:0:0:1 - - [27/Apr/2020:14:53:30 +0530] "GET /StrutsDemo/assets/bootstrap-4.4.1-dist/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Apr/2020:14:53:30 +0530] "GET /StrutsDemo/assets/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Apr/2020:14:53:30 +0530] "GET /StrutsDemo/assets/js/jquery-3.4.1.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Apr/2020:14:53:30 +0530] "GET /StrutsDemo/assets/fontawesome-free-5.13.0-web/css/all.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Apr/2020:14:53:30 +0530] "GET /StrutsDemo/assets/bootstrap-4.4.1-dist/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Apr/2020:14:53:30 +0530] "GET /StrutsDemo/assets/fontawesome-free-5.13.0-web/js/all.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Apr/2020:14:53:48 +0530] "GET /StrutsDemo/teacherForm.action HTTP/1.1" 200 3847
0:0:0:0:0:0:0:1 - - [27/Apr/2020:14:53:48 +0530] "GET /StrutsDemo/assets/bootstrap-4.4.1-dist/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Apr/2020:14:53:48 +0530] "GET /StrutsDemo/assets/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Apr/2020:14:53:48 +0530] "GET /StrutsDemo/assets/fontawesome-free-5.13.0-web/css/all.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Apr/2020:14:53:48 +0530] "GET /StrutsDemo/assets/js/jquery-3.4.1.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Apr/2020:14:53:48 +0530] "GET /StrutsDemo/assets/bootstrap-4.4.1-dist/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Apr/2020:14:53:48 +0530] "GET /StrutsDemo/assets/fontawesome-free-5.13.0-web/js/all.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Apr/2020:14:57:24 +0530] "GET /StrutsDemo/teacherForm.action HTTP/1.1" 200 4121
0:0:0:0:0:0:0:1 - - [27/Apr/2020:14:57:24 +0530] "GET /StrutsDemo/assets/bootstrap-4.4.1-dist/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Apr/2020:14:57:24 +0530] "GET /StrutsDemo/assets/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Apr/2020:14:57:24 +0530] "GET /StrutsDemo/assets/fontawesome-free-5.13.0-web/css/all.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Apr/2020:14:57:24 +0530] "GET /StrutsDemo/assets/js/jquery-3.4.1.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Apr/2020:14:57:24 +0530] "GET /StrutsDemo/assets/bootstrap-4.4.1-dist/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Apr/2020:14:57:24 +0530] "GET /StrutsDemo/assets/fontawesome-free-5.13.0-web/js/all.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Apr/2020:15:01:27 +0530] "GET /StrutsDemo/teacherForm.action HTTP/1.1" 200 4407
0:0:0:0:0:0:0:1 - - [27/Apr/2020:15:01:27 +0530] "GET /StrutsDemo/assets/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Apr/2020:15:01:27 +0530] "GET /StrutsDemo/assets/bootstrap-4.4.1-dist/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Apr/2020:15:01:27 +0530] "GET /StrutsDemo/assets/fontawesome-free-5.13.0-web/css/all.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Apr/2020:15:01:27 +0530] "GET /StrutsDemo/assets/js/jquery-3.4.1.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Apr/2020:15:01:27 +0530] "GET /StrutsDemo/assets/bootstrap-4.4.1-dist/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Apr/2020:15:01:27 +0530] "GET /StrutsDemo/assets/fontawesome-free-5.13.0-web/js/all.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Apr/2020:15:05:26 +0530] "GET /StrutsDemo/teacherForm.action HTTP/1.1" 200 5660
0:0:0:0:0:0:0:1 - - [27/Apr/2020:15:05:26 +0530] "GET /StrutsDemo/assets/bootstrap-4.4.1-dist/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Apr/2020:15:05:26 +0530] "GET /StrutsDemo/assets/fontawesome-free-5.13.0-web/css/all.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Apr/2020:15:05:26 +0530] "GET /StrutsDemo/assets/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Apr/2020:15:05:26 +0530] "GET /StrutsDemo/assets/js/jquery-3.4.1.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Apr/2020:15:05:26 +0530] "GET /StrutsDemo/assets/bootstrap-4.4.1-dist/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Apr/2020:15:05:26 +0530] "GET /StrutsDemo/assets/fontawesome-free-5.13.0-web/js/all.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Apr/2020:15:09:18 +0530] "GET /StrutsDemo/teacherForm.action HTTP/1.1" 200 5908
0:0:0:0:0:0:0:1 - - [27/Apr/2020:15:09:18 +0530] "GET /StrutsDemo/assets/bootstrap-4.4.1-dist/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Apr/2020:15:09:18 +0530] "GET /StrutsDemo/assets/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Apr/2020:15:09:18 +0530] "GET /StrutsDemo/assets/js/jquery-3.4.1.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Apr/2020:15:09:18 +0530] "GET /StrutsDemo/assets/fontawesome-free-5.13.0-web/js/all.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Apr/2020:15:09:18 +0530] "GET /StrutsDemo/assets/bootstrap-4.4.1-dist/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Apr/2020:15:09:18 +0530] "GET /StrutsDemo/assets/fontawesome-free-5.13.0-web/css/all.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Apr/2020:15:28:38 +0530] "GET /StrutsDemo/teacherForm.action HTTP/1.1" 200 5928
0:0:0:0:0:0:0:1 - - [27/Apr/2020:15:28:38 +0530] "GET /StrutsDemo/assets/js/jquery-3.4.1.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Apr/2020:15:28:38 +0530] "GET /StrutsDemo/assets/bootstrap-4.4.1-dist/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Apr/2020:15:28:38 +0530] "GET /StrutsDemo/assets/fontawesome-free-5.13.0-web/js/all.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Apr/2020:15:28:38 +0530] "GET /StrutsDemo/assets/bootstrap-4.4.1-dist/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Apr/2020:15:28:38 +0530] "GET /StrutsDemo/assets/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Apr/2020:15:28:38 +0530] "GET /StrutsDemo/assets/fontawesome-free-5.13.0-web/css/all.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Apr/2020:15:28:38 +0530] "GET /favicon.ico HTTP/1.1" 404 720
0:0:0:0:0:0:0:1 - - [27/Apr/2020:15:29:39 +0530] "GET /StrutsDemo/teacherForm.action HTTP/1.1" 200 5961
0:0:0:0:0:0:0:1 - - [27/Apr/2020:15:29:39 +0530] "GET /StrutsDemo/assets/bootstrap-4.4.1-dist/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Apr/2020:15:29:39 +0530] "GET /StrutsDemo/assets/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Apr/2020:15:29:39 +0530] "GET /StrutsDemo/assets/fontawesome-free-5.13.0-web/css/all.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Apr/2020:15:29:39 +0530] "GET /StrutsDemo/assets/js/jquery-3.4.1.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Apr/2020:15:29:39 +0530] "GET /StrutsDemo/assets/bootstrap-4.4.1-dist/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Apr/2020:15:29:39 +0530] "GET /StrutsDemo/assets/fontawesome-free-5.13.0-web/js/all.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Apr/2020:15:46:18 +0530] "GET /StrutsDemo/teacherForm.action HTTP/1.1" 200 6867
0:0:0:0:0:0:0:1 - - [27/Apr/2020:15:46:18 +0530] "GET /StrutsDemo/assets/js/jquery-3.4.1.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Apr/2020:15:46:18 +0530] "GET /StrutsDemo/assets/bootstrap-4.4.1-dist/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Apr/2020:15:46:18 +0530] "GET /StrutsDemo/assets/fontawesome-free-5.13.0-web/css/all.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Apr/2020:15:46:18 +0530] "GET /StrutsDemo/assets/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Apr/2020:15:46:18 +0530] "GET /StrutsDemo/assets/bootstrap-4.4.1-dist/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Apr/2020:15:46:18 +0530] "GET /StrutsDemo/assets/fontawesome-free-5.13.0-web/js/all.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Apr/2020:15:46:19 +0530] "GET /favicon.ico HTTP/1.1" 404 720
0:0:0:0:0:0:0:1 - - [27/Apr/2020:15:47:14 +0530] "GET /StrutsDemo/teacherForm.action HTTP/1.1" 200 6886
0:0:0:0:0:0:0:1 - - [27/Apr/2020:15:47:14 +0530] "GET /StrutsDemo/assets/js/jquery-3.4.1.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Apr/2020:15:47:14 +0530] "GET /StrutsDemo/assets/bootstrap-4.4.1-dist/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Apr/2020:15:47:14 +0530] "GET /StrutsDemo/assets/bootstrap-4.4.1-dist/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Apr/2020:15:47:14 +0530] "GET /StrutsDemo/assets/fontawesome-free-5.13.0-web/css/all.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Apr/2020:15:47:14 +0530] "GET /StrutsDemo/assets/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Apr/2020:15:47:14 +0530] "GET /StrutsDemo/assets/fontawesome-free-5.13.0-web/js/all.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Apr/2020:15:47:14 +0530] "GET /favicon.ico HTTP/1.1" 404 720
0:0:0:0:0:0:0:1 - - [27/Apr/2020:15:53:36 +0530] "GET /StrutsDemo/teacherForm.action HTTP/1.1" 200 7280
0:0:0:0:0:0:0:1 - - [27/Apr/2020:15:53:36 +0530] "GET /StrutsDemo/assets/bootstrap-4.4.1-dist/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Apr/2020:15:53:36 +0530] "GET /StrutsDemo/assets/js/jquery-3.4.1.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Apr/2020:15:53:36 +0530] "GET /StrutsDemo/assets/bootstrap-4.4.1-dist/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Apr/2020:15:53:36 +0530] "GET /StrutsDemo/assets/fontawesome-free-5.13.0-web/js/all.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Apr/2020:15:53:36 +0530] "GET /StrutsDemo/assets/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Apr/2020:15:53:36 +0530] "GET /StrutsDemo/assets/fontawesome-free-5.13.0-web/css/all.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Apr/2020:15:53:37 +0530] "GET /favicon.ico HTTP/1.1" 404 720
0:0:0:0:0:0:0:1 - - [27/Apr/2020:15:54:52 +0530] "GET /StrutsDemo/teacherForm.action HTTP/1.1" 200 7394
0:0:0:0:0:0:0:1 - - [27/Apr/2020:15:54:52 +0530] "GET /StrutsDemo/assets/bootstrap-4.4.1-dist/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Apr/2020:15:54:52 +0530] "GET /StrutsDemo/assets/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Apr/2020:15:54:52 +0530] "GET /StrutsDemo/assets/fontawesome-free-5.13.0-web/css/all.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Apr/2020:15:54:52 +0530] "GET /StrutsDemo/assets/js/jquery-3.4.1.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Apr/2020:15:54:52 +0530] "GET /StrutsDemo/assets/bootstrap-4.4.1-dist/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Apr/2020:15:54:52 +0530] "GET /StrutsDemo/assets/fontawesome-free-5.13.0-web/js/all.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Apr/2020:15:55:06 +0530] "GET /StrutsDemo/teacherForm.action HTTP/1.1" 200 7408
0:0:0:0:0:0:0:1 - - [27/Apr/2020:15:55:06 +0530] "GET /StrutsDemo/assets/bootstrap-4.4.1-dist/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Apr/2020:15:55:06 +0530] "GET /StrutsDemo/assets/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Apr/2020:15:55:06 +0530] "GET /StrutsDemo/assets/fontawesome-free-5.13.0-web/css/all.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Apr/2020:15:55:06 +0530] "GET /StrutsDemo/assets/js/jquery-3.4.1.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Apr/2020:15:55:06 +0530] "GET /StrutsDemo/assets/bootstrap-4.4.1-dist/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Apr/2020:15:55:06 +0530] "GET /StrutsDemo/assets/fontawesome-free-5.13.0-web/js/all.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Apr/2020:15:55:25 +0530] "GET /StrutsDemo/teacherForm.action HTTP/1.1" 200 7414
0:0:0:0:0:0:0:1 - - [27/Apr/2020:15:55:25 +0530] "GET /StrutsDemo/assets/bootstrap-4.4.1-dist/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Apr/2020:15:55:25 +0530] "GET /StrutsDemo/assets/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Apr/2020:15:55:25 +0530] "GET /StrutsDemo/assets/fontawesome-free-5.13.0-web/css/all.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Apr/2020:15:55:25 +0530] "GET /StrutsDemo/assets/js/jquery-3.4.1.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Apr/2020:15:55:25 +0530] "GET /StrutsDemo/assets/bootstrap-4.4.1-dist/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Apr/2020:15:55:25 +0530] "GET /StrutsDemo/assets/fontawesome-free-5.13.0-web/js/all.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Apr/2020:15:55:31 +0530] "GET /StrutsDemo/teacherForm.action HTTP/1.1" 200 7414
0:0:0:0:0:0:0:1 - - [27/Apr/2020:15:55:31 +0530] "GET /StrutsDemo/assets/bootstrap-4.4.1-dist/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Apr/2020:15:55:31 +0530] "GET /StrutsDemo/assets/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Apr/2020:15:55:31 +0530] "GET /StrutsDemo/assets/fontawesome-free-5.13.0-web/css/all.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Apr/2020:15:55:31 +0530] "GET /StrutsDemo/assets/js/jquery-3.4.1.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Apr/2020:15:55:31 +0530] "GET /StrutsDemo/assets/bootstrap-4.4.1-dist/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Apr/2020:15:55:31 +0530] "GET /StrutsDemo/assets/fontawesome-free-5.13.0-web/js/all.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Apr/2020:15:57:45 +0530] "GET /StrutsDemo/teacherForm.action HTTP/1.1" 200 7967
0:0:0:0:0:0:0:1 - - [27/Apr/2020:15:57:45 +0530] "GET /StrutsDemo/assets/bootstrap-4.4.1-dist/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Apr/2020:15:57:45 +0530] "GET /StrutsDemo/assets/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Apr/2020:15:57:45 +0530] "GET /StrutsDemo/assets/fontawesome-free-5.13.0-web/css/all.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Apr/2020:15:57:45 +0530] "GET /StrutsDemo/assets/js/jquery-3.4.1.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Apr/2020:15:57:45 +0530] "GET /StrutsDemo/assets/bootstrap-4.4.1-dist/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Apr/2020:15:57:45 +0530] "GET /StrutsDemo/assets/fontawesome-free-5.13.0-web/js/all.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Apr/2020:15:58:15 +0530] "GET /StrutsDemo/teacherForm.action HTTP/1.1" 200 8023
0:0:0:0:0:0:0:1 - - [27/Apr/2020:15:58:15 +0530] "GET /StrutsDemo/assets/bootstrap-4.4.1-dist/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Apr/2020:15:58:15 +0530] "GET /StrutsDemo/assets/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Apr/2020:15:58:15 +0530] "GET /StrutsDemo/assets/fontawesome-free-5.13.0-web/css/all.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Apr/2020:15:58:15 +0530] "GET /StrutsDemo/assets/js/jquery-3.4.1.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Apr/2020:15:58:15 +0530] "GET /StrutsDemo/assets/bootstrap-4.4.1-dist/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Apr/2020:15:58:15 +0530] "GET /StrutsDemo/assets/fontawesome-free-5.13.0-web/js/all.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Apr/2020:15:58:31 +0530] "GET /StrutsDemo/teacherForm.action HTTP/1.1" 200 8023
0:0:0:0:0:0:0:1 - - [27/Apr/2020:15:58:31 +0530] "GET /StrutsDemo/assets/fontawesome-free-5.13.0-web/css/all.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Apr/2020:15:58:31 +0530] "GET /StrutsDemo/assets/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Apr/2020:15:58:31 +0530] "GET /StrutsDemo/assets/js/jquery-3.4.1.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Apr/2020:15:58:31 +0530] "GET /StrutsDemo/assets/bootstrap-4.4.1-dist/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Apr/2020:15:58:31 +0530] "GET /StrutsDemo/assets/bootstrap-4.4.1-dist/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Apr/2020:15:58:31 +0530] "GET /StrutsDemo/assets/fontawesome-free-5.13.0-web/js/all.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Apr/2020:15:59:49 +0530] "GET /StrutsDemo/teacherForm.action HTTP/1.1" 200 7948
0:0:0:0:0:0:0:1 - - [27/Apr/2020:15:59:49 +0530] "GET /StrutsDemo/assets/bootstrap-4.4.1-dist/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Apr/2020:15:59:49 +0530] "GET /StrutsDemo/assets/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Apr/2020:15:59:49 +0530] "GET /StrutsDemo/assets/fontawesome-free-5.13.0-web/css/all.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Apr/2020:15:59:49 +0530] "GET /StrutsDemo/assets/js/jquery-3.4.1.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Apr/2020:15:59:49 +0530] "GET /StrutsDemo/assets/bootstrap-4.4.1-dist/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Apr/2020:15:59:49 +0530] "GET /StrutsDemo/assets/fontawesome-free-5.13.0-web/js/all.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Apr/2020:16:03:30 +0530] "GET /StrutsDemo/teacherForm.action HTTP/1.1" 200 8073
0:0:0:0:0:0:0:1 - - [27/Apr/2020:16:03:30 +0530] "GET /StrutsDemo/assets/bootstrap-4.4.1-dist/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Apr/2020:16:03:30 +0530] "GET /StrutsDemo/assets/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Apr/2020:16:03:30 +0530] "GET /StrutsDemo/assets/fontawesome-free-5.13.0-web/css/all.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Apr/2020:16:03:30 +0530] "GET /StrutsDemo/assets/js/jquery-3.4.1.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Apr/2020:16:03:30 +0530] "GET /StrutsDemo/assets/fontawesome-free-5.13.0-web/js/all.min.js HTTP/1.1" 304 -
